"unique_name","unique_id","type","length","category","struct_format"
"IEEE802154_macCW",51276,"UINT32_T",4,"PARAMETER",""
"IEEE802154_macMaxBE",329,"UINT8_T",1,"PARAMETER",""
"IEEE802154_macMaxCSMABackoffs",18046,"UINT8_T",1,"PARAMETER",""
"IEEE802154_macMaxFrameRetries",31757,"UINT8_T",1,"PARAMETER",""
"IEEE802154_macMinBE",30025,"UINT8_T",1,"PARAMETER",""
"IEEE802154_macPANId",35995,"UINT16_T",2,"PARAMETER",""
"IEEE802154_macShortAddress",55909,"UINT16_T",2,"PARAMETER",""
"IEEE802154_macExtendedAddress",4194,"STRUCT_T",8,"PARAMETER","u1,u1,u1,u1,u1,u1,u1,u1"
"IEEE802154_phyCurrentChannel",51638,"UINT8_T",1,"PARAMETER",""
"IEEE802154_phyTXPower",58914,"UINT8_T",1,"PARAMETER",""
"IEEE802154e_macHoppingSequenceLength",22217,"UINT16_T",2,"PARAMETER",""
"IEEE802154e_macHoppingSequenceList",58932,"STRUCT_T",16,"PARAMETER","u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1,u1"
"IEEE802154e_macSlotframeSize",42470,"UINT16_T",2,"PARAMETER",""
"IEEE802154e_macTimeslot",34366,"STRUCT_T",8,"PARAMETER","u2,u2,u1,u1,u2"
"IEEE802154e_macTsTimeslotLength",61012,"UINT32_T",4,"PARAMETER",""
"TAISC_ACTIVERADIOPROGRAM",28170,"UINT8_T",1,"PARAMETER",""
"IEEE802154_MACSTATS",54859,"STRUCT_T",42,"MEASUREMENT","u4,u4,u4,u4,u4,u4,u4,u4,u4,u4,u2"
"IEEE802154_event_macStats",54860,"STRUCT_T",42,"EVENT","u4,u4,u4,u4,u4,u4,u4,u4,u4,u4,u2"
